[2025-05-03 14:31:11] [32m[I]     9614 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9598 ms	Done time: 9610 ms	Delta Time: 4495 ms	Sync AVG: 9535.76 ms	Done AVG: 9547.76 ms	Sync count: 68	Boot count: 68[0m
[2025-05-03 14:31:40] [32m[I]     9630 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9614 ms	Done time: 9626 ms	Delta Time: 4495 ms	Sync AVG: 9536.90 ms	Done AVG: 9548.90 ms	Sync count: 69	Boot count: 69[0m
[2025-05-03 14:32:10] [32m[I]     9631 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9616 ms	Done time: 9628 ms	Delta Time: 4495 ms	Sync AVG: 9538.03 ms	Done AVG: 9550.03 ms	Sync count: 70	Boot count: 70[0m
[2025-05-03 14:32:40] [32m[I]     9654 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9638 ms	Done time: 9650 ms	Delta Time: 4495 ms	Sync AVG: 9539.44 ms	Done AVG: 9551.44 ms	Sync count: 71	Boot count: 71[0m
[2025-05-03 14:33:10] [32m[I]     9611 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9595 ms	Done time: 9607 ms	Delta Time: 4495 ms	Sync AVG: 9540.21 ms	Done AVG: 9552.21 ms	Sync count: 72	Boot count: 72[0m
[2025-05-03 14:33:40] [32m[I]     9602 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9586 ms	Done time: 9598 ms	Delta Time: 4495 ms	Sync AVG: 9540.84 ms	Done AVG: 9552.84 ms	Sync count: 73	Boot count: 73[0m
[2025-05-03 14:34:10] [32m[I]     9607 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9592 ms	Done time: 9604 ms	Delta Time: 4495 ms	Sync AVG: 9541.53 ms	Done AVG: 9553.53 ms	Sync count: 74	Boot count: 74[0m
[2025-05-03 14:34:40] [32m[I]    10021 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 10005 ms	Done time: 10017 ms	Delta Time: 4495 ms	Sync AVG: 9547.71 ms	Done AVG: 9559.71 ms	Sync count: 75	Boot count: 75[0m
[2025-05-03 14:35:09] [32m[I]     9196 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9181 ms	Done time: 9193 ms	Delta Time: 4495 ms	Sync AVG: 9542.88 ms	Done AVG: 9554.88 ms	Sync count: 76	Boot count: 76[0m
[2025-05-03 14:35:39] [32m[I]     9819 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 20441 ms	Sync time: 9803 ms	Done time: 9815 ms	Delta Time: 4495 ms	Sync AVG: 9546.26 ms	Done AVG: 9558.26 ms	Sync count: 77	Boot count: 77[0m
