[2025-05-02 19:41:34] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.19 ms	Sync count: 70	Boot count: 70[0m
[2025-05-02 19:42:03] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 294.06 ms	Sync count: 71	Boot count: 71[0m
[2025-05-02 19:42:33] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.93 ms	Sync count: 72	Boot count: 72[0m
[2025-05-02 19:43:03] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.81 ms	Sync count: 73	Boot count: 73[0m
[2025-05-02 19:43:33] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.69 ms	Sync count: 74	Boot count: 74[0m
[2025-05-02 19:44:03] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.57 ms	Sync count: 75	Boot count: 75[0m
[2025-05-02 19:44:33] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.46 ms	Sync count: 76	Boot count: 76[0m
[2025-05-02 19:45:02] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.35 ms	Sync count: 77	Boot count: 77[0m
[2025-05-02 19:45:32] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.24 ms	Sync count: 78	Boot count: 78[0m
[2025-05-02 19:46:02] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.14 ms	Sync count: 79	Boot count: 79[0m
[2025-05-02 19:46:32] [32m[I]      290 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29714 ms	Sync time: 0 ms	Done time: 286 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 293.05 ms	Sync count: 80	Boot count: 80[0m
[2025-05-02 19:47:02] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.95 ms	Sync count: 81	Boot count: 81[0m
[2025-05-02 19:47:32] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.85 ms	Sync count: 82	Boot count: 82[0m
[2025-05-02 19:48:01] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.76 ms	Sync count: 83	Boot count: 83[0m
[2025-05-02 19:48:31] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.67 ms	Sync count: 84	Boot count: 84[0m
[2025-05-02 19:49:01] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.58 ms	Sync count: 85	Boot count: 85[0m
[2025-05-02 19:49:31] [32m[I]      288 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29716 ms	Sync time: 0 ms	Done time: 284 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.48 ms	Sync count: 86	Boot count: 86[0m
[2025-05-02 19:50:01] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.39 ms	Sync count: 87	Boot count: 87[0m
[2025-05-02 19:50:30] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.31 ms	Sync count: 88	Boot count: 88[0m
[2025-05-02 19:51:00] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 292.22 ms	Sync count: 89	Boot count: 89[0m
[2025-05-02 19:51:31] [32m[I]      929 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29074 ms	Sync time: 0 ms	Done time: 926 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 299.27 ms	Sync count: 90	Boot count: 90[0m
[2025-05-02 19:52:00] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 299.11 ms	Sync count: 91	Boot count: 91[0m
[2025-05-02 19:52:30] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 298.96 ms	Sync count: 92	Boot count: 92[0m
[2025-05-02 19:53:00] [32m[I]      289 sleep.cpp           : 232 | [SLEEP-STATS] Sync: 1	Sleep time: 29715 ms	Sync time: 0 ms	Done time: 285 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 298.81 ms	Sync count: 93	Boot count: 93[0m
