[2025-05-21 13:59:22.230882] xxxxxxets Jul 29 2019 12:21:46
[2025-05-21 13:59:22.231058] 
[2025-05-21 14:09:15.817418] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 14:09:15.820155] mode:DIO, clock div:2
[2025-05-21 14:09:15.823143] load:0x3fff0030,len:1184
[2025-05-21 14:09:15.825762] load:0x40078000,len:13232
[2025-05-21 14:09:15.825844] load:0x40080400,len:3028
[2025-05-21 14:09:15.829172] entry 0x400805e4
[2025-05-21 14:09:15.870184] [     7][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 14:09:15.880963] [I]       19 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 14:09:15.930799] [I]       73 lora.cpp            :  32 | [LORA] Init
[2025-05-21 14:09:15.939042] [I]       73 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 14:09:15.951047] [I]       90 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:09:15.957474] [I]       91 loraraw.cpp         :  46 | [LR] Init
[2025-05-21 14:09:15.962217] [I]      101 mac.cpp             : 103 | [MAC] Init
[2025-05-21 14:09:15.970453] [I]      103 routing_table.cpp   :  49 | [RTABLE] Routing table initialized. (6 B, 3 routes) Heap: 328348
[2025-05-21 14:09:15.976049] [I]      113 routing.cpp         :  64 | [ROUTING] Initialized
[2025-05-21 14:09:15.984376] [I]      113 transport.cpp       :  74 | [TRANSPORT] Initialized
[2025-05-21 14:09:15.990648] [W]      124 routing_table.cpp   :  84 | [RTABLE] Route for 0x09 already exists
[2025-05-21 14:09:15.998232] [I]      134 transport.cpp       : 168 | [TRANSPORT] Registered event(s) for port 1
[2025-05-21 14:09:16.006604] [I]      145 transport.cpp       :  93 | [TRANSPORT] Preparing to send
[2025-05-21 14:09:16.017686] [I]      145 transport.cpp       : 368 | [TRANSPORT] SEGMENT: ID=14962 PORT=1 ACKreq=0 ACKResp=0 D-LEN=0 DATA=
[2025-05-21 14:09:16.023264] [I]      155 routing.cpp         :  90 | [ROUTING] Sending packet:
[2025-05-21 14:09:16.031583] [I]      166 routing.cpp         : 299 | [ROUTING] PACKET: SRC=05 DST=09 TTL=5 D-LEN=4 DATA=r:
[2025-05-21 14:09:16.040830] [I]      176 routing_table.cpp   :  74 | [RTABLE] Queried route for 0x09, through 0x09
[2025-05-21 14:09:16.048232] [I]      186 mac.cpp             : 115 | [MAC] Preparing to send
[2025-05-21 14:09:16.053801] [I]      186 mac.cpp             : 128 | [MAC] PDU ready
[2025-05-21 14:09:16.064935] [I]      197 mac.cpp             : 565 | [MAC] FRAME: TX=05 RX=09 ID=59389 D-LEN=8 DATA=	r: CRC=214 ACK=0 RETRY=0
[2025-05-21 14:09:16.070454] [I]      207 mac.cpp             : 141 | [MAC] FSM transmission scheduled
[2025-05-21 14:09:16.078841] [I]      207 routing.cpp         : 132 | [ROUTING] Added packet to send queue (ID: 59389)
[2025-05-21 14:09:16.090302] [I]      218 transport.cpp       : 133 | [TRANSPORT] Scheduled to send segment (Segment ID: 14962, Frame ID: 59389)
[2025-05-21 14:09:16.098218] [I]      237 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
[2025-05-21 14:09:16.104062] [I]      237 loraraw.cpp         :  57 | [LR] Preparing to send
[2025-05-21 14:09:16.118161] [I]      256 loraraw.cpp         : 235 | [LR] Packet: 0509FDE7F80805090504723A0400D6
[2025-05-21 14:09:16.175923] [I]      315 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:09:16.185931] [I]      315 mac.cpp             : 484 | [MAC] Frame sent successfully, waiting for ACK
[2025-05-21 14:09:16.191637] [I]      332 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 14:09:16.200598] [I]      332 mac.cpp             : 510 | [MAC] Timeout d'ACK: 108ms (36096us airtime)
[2025-05-21 14:09:16.308778] [I]      448 mac.cpp             : 414 | [MAC] ACK timeout
[2025-05-21 14:09:16.314897] [I]      448 mac.cpp             : 422 | [MAC] Retry 1/3
[2025-05-21 14:09:16.322848] [I]      459 loraraw.cpp         : 155 | [LR] Set power to -9 dBm
