[2025-05-21 11:10:30.596377] ets Jul 29 2019 12:21:46
[2025-05-21 11:10:30.596515] 
[2025-05-21 11:11:46.215365] [I]     1146 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:11:46.224358] [W]     1146 transport.cpp       : 281 | [TRANSPORT] TX Error for UDP segment 36598 (frame 17926)
[2025-05-21 11:11:46.233390] [I]     1158 routing_table.cpp   :  60 | [RTABLE] Routing table de-initialized. Heap: 327772
[2025-05-21 11:11:46.239298] [I]     1169 mac.cpp             : 108 | [MAC] Deinit
[2025-05-21 11:11:46.244919] [I]     1179 lora.cpp            :  37 | [LORA] Deinit
[2025-05-21 11:11:46.257376] [I]     1192 routing.cpp         :  75 | [ROUTING] Deinitialized
[2025-05-21 11:11:46.264397] [I]     1192 transport.cpp       :  88 | [TRANSPORT] De-initialized
[2025-05-21 11:11:46.266363] Sleeping for 148798 ms
[2025-05-21 11:14:13.610346] ets Jul 29 2019 12:21:46
[2025-05-21 11:14:13.610491] 
[2025-05-21 11:14:13.615074] rst:0x5 (DEEPSLEEP_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
[2025-05-21 11:14:13.618020] configsip: 0, SPIWP:0xee
[2025-05-21 11:14:13.624173] clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
[2025-05-21 11:14:13.626122] mode:DIO, clock div:2
[2025-05-21 11:14:13.628005] load:0x3fff0030,len:1184
[2025-05-21 11:14:13.630011] load:0x40078000,len:13232
[2025-05-21 11:14:13.632989] load:0x40080400,len:3028
[2025-05-21 11:14:13.634088] entry 0x400805e4
[2025-05-21 11:14:13.695000] [    27][D][esp32-hal-cpu.c:244] setCpuFrequencyMhz(): PLL: 480 / 2 = 240 Mhz, APB: 80000000 Hz
[2025-05-21 11:14:13.711016] [I]       38 transport.cpp       :  54 | [TRANSPORT] Initializing...
[2025-05-21 11:14:13.755089] [I]       91 lora.cpp            :  32 | [LORA] Init
[2025-05-21 11:14:13.762072] [I]       91 scheduler.cpp       :  77 | [SCHED] Cleanup started
[2025-05-21 11:14:13.774001] [I]      108 loraraw.cpp         : 185 | [LR] Started Receiving
[2025-05-21 11:14:13.779113] [I]      108 loraraw.cpp         :  46 | [LR] Init
[2025-05-21 11:14:13.783999] [I]      119 mac.cpp             : 103 | [MAC] Init
[2025-05-21 11:14:13.794080] [I]      121 routing_table.cpp   :  49 | [RTABLE] Routing table initialized. (4 B, 2 routes) Heap: 328396
