[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 70	Boot count: 71[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 71	Boot count: 72[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 72	Boot count: 73[0m
[32m[I]      285 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9718 ms	Sync time: 0 ms	Done time: 282 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 73	Boot count: 74[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.96 ms	Sync count: 74	Boot count: 75[0m
[32m[I]      288 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9716 ms	Sync time: 0 ms	Done time: 284 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 75	Boot count: 76[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 76	Boot count: 77[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 77	Boot count: 78[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.97 ms	Sync count: 78	Boot count: 79[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 79	Boot count: 80[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 80	Boot count: 81[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 81	Boot count: 82[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 82	Boot count: 83[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 83	Boot count: 84[0m
[32m[I]      287 sleep.cpp           : 229 | [SLEEP-STATS] Sync: 1	Sleep time: 9717 ms	Sync time: 0 ms	Done time: 283 ms	Delta Time: 0 ms	Sync AVG: 0.00 ms	Done AVG: 282.98 ms	Sync count: 84	Boot count: 85[0m
